Height_cm,Weight_kg
174.96714153011231,74.86125954092192
168.61735698828815,64.22376579375525
176.47688538100692,59.84616999541062
185.23029856408024,79.17514433261302
167.65846625276663,85.46499283743927
167.6586304305082,83.96920178674299
185.79212815507393,57.41173715166042
177.6743472915291,65.36181436223178
165.30525614065047,74.96895147105346
175.42560043585965,84.63317690683539
165.36582307187538,62.81238643232065
165.34270246429742,67.21511535004274
172.41962271566035,53.40497538990958
150.86719755342202,52.05690063878994
152.75082167486968,82.18788733591298
164.37712470759027,90.34360042856234
159.87168879665577,68.91984817629499
173.14247332595275,85.05299346838036
160.91975924478788,75.42454037571451
155.87696298664707,60.323203680923136
184.65648768921554,75.4209340826262
167.74223699513465,93.07054849698955
170.67528204687923,69.46260941335073
155.75251813786542,93.4696548372101
164.55617275474816,30.703823438653835
171.10922589709867,82.32853756562835
158.49006422577696,71.30570602357257
173.75698018345673,65.51488974301199
163.99361310081196,71.37641164803253
167.08306250206724,40.18646628098661
163.98293387770602,66.70492168243732
188.52278184508938,75.35668857267619
169.86502775262065,92.16841067112274
159.42289071044098,62.22594672589529
178.2254491210319,57.87259595660218
157.79156350028978,62.47364434623195
172.08863595004755,83.73103176553111
150.40329876120225,74.93126664489526
156.7181395110157,62.05359694349442
171.96861235869125,77.69901149670034
177.3846657999541,71.4561632402206
171.7136828118997,84.52967485799334
168.8435171761176,59.469203591839715
166.98896304410712,65.08506780103347
155.21478009632574,64.11837770301764
162.8015579160529,48.04727577801822
165.39361229040213,74.44180415596864
180.57122226218917,73.91582908269834
173.43618289568462,70.07670184963692
152.36959844637266,66.4811929993728
